City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
176,Tornio,FI,65.8481,24.1466,68.02,77,64,2.66,broken clouds
177,Zhigansk,RU,66.7697,123.3711,64.11,69,55,12.53,light rain
178,Stornoway,GB,58.2093,-6.3865,55.36,78,75,13.8,broken clouds
179,Saskylakh,RU,71.9167,114.0833,43.3,72,100,15.17,overcast clouds
180,Broken Hill,AU,-31.95,141.4333,55.81,46,82,15.21,broken clouds
181,Matveyevka,RU,52.15,56.1833,80.06,61,0,7.34,clear sky
182,Tokur,RU,53.1333,132.9,71.1,60,74,1.1,light rain
183,Praia Da Vitoria,PT,38.7333,-27.0667,66.76,88,32,9.48,scattered clouds
184,Kungurtug,RU,50.5994,97.5228,70.11,37,66,5.26,broken clouds
185,Pyay,MM,18.8167,95.2167,86.97,67,99,7.63,overcast clouds
186,Antalaha,MG,-14.9003,50.2788,72.64,86,73,9.69,light rain
187,Rocha,UY,-34.4833,-54.3333,45.54,82,100,16.06,overcast clouds
188,Husavik,IS,66.0449,-17.3389,45.07,98,100,18.12,light rain
189,Fortuna,US,40.5982,-124.1573,59.67,91,40,0.78,scattered clouds
190,Dubrovnik,HR,42.6481,18.0922,74.84,25,0,19.57,clear sky
191,Aklavik,CA,68.2191,-135.0107,46.98,85,89,19.89,overcast clouds
192,Buchanan,LR,5.8808,-10.0467,74.95,87,100,7.7,overcast clouds
193,Bata,GQ,1.8639,9.7658,72.88,82,93,5.5,overcast clouds
194,Bluff,NZ,-46.6,168.3333,42.8,88,100,24.61,light rain
195,Cherskiy,RU,68.75,161.3,79.59,55,52,12.24,light rain
196,San Cristobal,VE,7.7669,-72.225,63.32,95,91,3.24,overcast clouds
197,Nueva Loja,EC,0.0847,-76.8828,69.01,99,67,1.88,broken clouds
198,Boa Vista,BR,2.8197,-60.6733,78.78,83,75,2.3,broken clouds
199,Konya,TR,38.1667,32.5,67.48,55,0,6.15,clear sky
200,Rudnogorsk,RU,57.2639,103.7519,66.2,53,88,7.52,overcast clouds
201,Maceio,BR,-9.6658,-35.7353,71.04,94,75,4.61,fog
202,Amalapuram,IN,16.5833,82.0167,76.75,84,100,14.76,overcast clouds
203,Charters Towers,AU,-20.1,146.2667,69.53,41,21,7.92,few clouds
204,Arraial Do Cabo,BR,-22.9661,-42.0278,69.69,92,7,21.9,clear sky
205,Malakwal,PK,32.5536,73.2123,100.17,41,19,2.93,few clouds
206,Lewiston,US,44.1003,-70.2148,68.32,84,0,6.91,clear sky
207,Baoding,CN,38.8511,115.4903,73.4,79,100,11.74,overcast clouds
208,Iquique,CL,-20.2208,-70.1431,57.24,74,22,0.72,few clouds
209,Wyndham,US,37.6985,-77.6125,71.4,90,0,4.61,clear sky
210,Keti Bandar,PK,24.1447,67.4497,85.77,77,80,19.28,broken clouds
211,Araouane,ML,18.9048,-3.5265,88.97,31,4,14.52,clear sky
212,Talaya,RU,61.3833,152.75,88.93,33,30,19.64,scattered clouds
213,Beyneu,KZ,45.3167,55.2,93.61,20,0,6.91,clear sky
214,Cape Town,ZA,-33.9258,18.4232,55.38,90,40,8.05,scattered clouds
215,Ilulissat,GL,69.2167,-51.1,42.82,93,100,2.3,light intensity shower rain
216,Ahuimanu,US,21.4447,-157.8378,78.51,73,0,13.8,clear sky
217,Horsham,GB,51.064,-0.3272,70.63,76,0,3.44,clear sky
218,Ormara,PK,25.2088,64.6357,84.31,83,99,15.43,overcast clouds
219,Castro,BR,-24.7911,-50.0119,64.69,51,94,16.53,overcast clouds
220,Padang,ID,-0.9492,100.3543,86.05,77,98,7.43,light rain
221,Chokurdakh,RU,70.6333,147.9167,58.37,78,100,13.22,overcast clouds
222,Guerrero Negro,MX,27.9769,-114.0611,66.15,86,49,12.82,scattered clouds
223,Ternate,ID,0.8,127.4,78.08,89,93,6.42,overcast clouds
224,Flin Flon,CA,54.7682,-101.865,56.97,89,37,4.92,scattered clouds
225,Taltal,CL,-25.4,-70.4833,59.76,51,0,4.14,clear sky
226,Esso,RU,55.9333,158.7,85.32,48,8,7.74,clear sky
227,Huarmey,PE,-10.0681,-78.1522,61.21,86,5,9.71,clear sky
228,Annonay,FR,45.2397,4.6708,71.82,57,8,3.87,clear sky
229,Sinnamary,GF,5.3833,-52.95,76.84,88,72,6.6,broken clouds
230,Bambanglipuro,ID,-7.95,110.2833,83.03,75,45,17.34,scattered clouds
231,Lasa,IT,46.6166,10.7002,60.37,65,50,3.78,scattered clouds
232,Acapulco,MX,16.8634,-99.8901,84.02,79,100,5.75,overcast clouds
233,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,72.19,68,20,13.42,few clouds
234,Dongsheng,CN,39.8161,109.9776,78.75,43,97,6.64,overcast clouds
235,Port Hedland,AU,-20.3167,118.5667,77.05,31,3,13.8,clear sky
236,Buraydah,SA,26.326,43.975,93.65,11,98,11.5,overcast clouds
237,Zavitinsk,RU,50.1167,129.45,79.43,63,36,2.66,moderate rain
238,Esperance,AU,-33.8667,121.9,64.26,43,0,13.96,clear sky
239,Yeppoon,AU,-23.1333,150.7333,65.98,89,99,4.99,overcast clouds
240,Grindavik,IS,63.8424,-22.4338,48.67,93,75,17.27,broken clouds
241,Provideniya,RU,64.3833,-173.3,51.96,78,81,2.86,broken clouds
242,Sitka,US,57.0531,-135.33,53.49,82,75,3.44,broken clouds
243,Sangar,RU,63.9242,127.4739,69.48,60,46,5.32,scattered clouds
244,Nemuro,JP,43.3236,145.575,63.37,97,83,8.48,broken clouds
245,Salalah,OM,17.0151,54.0924,78.89,89,100,8.05,overcast clouds
246,Sambava,MG,-14.2667,50.1667,74.1,78,56,11.9,light rain
247,Aguilas,ES,37.4063,-1.5829,77.16,52,0,8.19,clear sky
248,Anna Paulowna,NL,52.862,4.834,65.98,90,100,11.99,overcast clouds
249,Shahrud,IR,36.4182,54.9763,89.8,10,0,13.51,clear sky
250,Lichinga,MZ,-13.3128,35.2406,57.29,82,40,14.97,scattered clouds
251,Lavrentiya,RU,65.5833,-171.0,45.91,85,87,3.8,overcast clouds
252,Teya,RU,60.3778,92.6267,64.24,57,100,0.98,light rain
253,Oussouye,SN,12.485,-16.5469,77.9,89,56,5.28,broken clouds
254,Iqaluit,CA,63.7506,-68.5145,44.33,81,75,3.44,broken clouds
255,Polson,US,47.6936,-114.1632,63.21,71,0,3.44,clear sky
256,Oranjemund,NA,-28.55,16.4333,51.15,81,0,8.32,clear sky
257,Ambon,ID,-3.6954,128.1814,86.14,70,20,3.44,few clouds
258,Naze,JP,28.3667,129.4833,88.72,73,86,7.29,overcast clouds
259,Havre-Saint-Pierre,CA,50.2334,-63.5986,57.56,94,100,4.61,mist
260,Mormugao,IN,15.4,73.8,79.41,81,100,18.57,overcast clouds
261,Gamba,GA,-2.65,10.0,68.68,91,100,3.22,overcast clouds
262,Hofn,IS,64.2539,-15.2082,52.39,78,100,10.42,light rain
263,Labuhan,ID,-6.8844,112.2051,86.27,65,11,7.31,few clouds
264,Rio Das Ostras,BR,-22.5269,-41.945,67.91,89,4,9.55,clear sky
265,Pangkalanbuun,ID,-2.6833,111.6167,81.46,85,92,2.04,overcast clouds
266,Puteyets,RU,65.1716,57.091,81.91,35,82,6.06,broken clouds
